generation,best_in_population,mean_fitness,global_best_fitness
5013,963.056667,-402.358419,963.056667
5014,963.056667,-468.632706,963.056667
5015,963.056667,-461.117996,963.056667
5016,963.056667,-327.881059,963.056667
5017,963.056667,-96.416214,963.056667
5018,963.056667,-328.645714,963.056667
5019,963.056667,-127.740399,963.056667
5020,963.056667,-107.006466,963.056667
5021,963.056667,-375.022387,963.056667
5022,963.056667,-223.360255,963.056667
5023,963.056667,-269.370298,963.056667
5024,963.056667,-368.848133,963.056667
5025,963.056667,-465.955403,963.056667
5026,963.056667,-352.528817,963.056667
5027,963.056667,-320.468418,963.056667
5028,963.056667,-252.000381,963.056667
5029,963.056667,-436.593990,963.056667
5030,963.056667,-442.603432,963.056667
5031,963.056667,-492.002113,963.056667
5032,963.056667,-488.636609,963.056667
5033,963.056667,-340.888433,963.056667
5034,963.056667,-367.206735,963.056667
5035,963.056667,-279.690245,963.056667
5036,963.056667,-438.501144,963.056667
5037,963.056667,-473.616764,963.056667
5038,963.056667,-333.560334,963.056667
5039,963.056667,-404.766001,963.056667
5040,963.056667,-611.385030,963.056667
5041,963.056667,-373.800117,963.056667
5042,963.056667,-454.221658,963.056667
5043,963.056667,-558.400270,963.056667
5044,963.056667,-525.703452,963.056667
5045,963.056667,-344.173384,963.056667
5046,963.056667,-495.449099,963.056667
5047,963.056667,-521.726001,963.056667
5048,963.056667,-357.806828,963.056667
5049,963.056667,-355.048878,963.056667
5050,963.056667,-479.518821,963.056667
5051,963.056667,-408.442853,963.056667
5052,963.056667,-231.025184,963.056667
5053,963.056667,-429.395694,963.056667
5054,963.056667,-390.123663,963.056667
5055,963.056667,-153.852386,963.056667
5056,963.056667,-445.339760,963.056667
5057,963.056667,-529.682083,963.056667
5058,963.056667,-362.137137,963.056667
5059,963.056667,-368.731600,963.056667
5060,963.056667,-700.810652,963.056667
5061,963.056667,-809.032422,963.056667
5062,963.056667,-763.643747,963.056667
5063,963.056667,-566.659592,963.056667
5064,963.056667,-556.495329,963.056667
5065,963.056667,-508.744911,963.056667
5066,963.056667,-200.653907,963.056667
5067,963.056667,-258.331885,963.056667
5068,963.056667,-390.681069,963.056667
5069,963.056667,-524.740990,963.056667
5070,963.056667,-503.848633,963.056667
5071,963.056667,-629.790057,963.056667
5072,963.056667,-487.496075,963.056667
5073,963.056667,-519.987878,963.056667
5074,963.056667,-447.005959,963.056667
5075,963.056667,-550.675127,963.056667
5076,963.056667,-522.845068,963.056667
5077,963.056667,-458.404762,963.056667
5078,963.056667,-338.948825,963.056667
5079,963.056667,-338.165257,963.056667
5080,963.056667,-323.495124,963.056667
5081,963.056667,-533.771874,963.056667
5082,963.056667,-498.501717,963.056667
5083,963.056667,-572.785527,963.056667
5084,963.056667,-597.097578,963.056667
5085,963.056667,-320.228854,963.056667
5086,963.056667,-79.650395,963.056667
5087,963.056667,-310.976726,963.056667
5088,963.056667,-468.188394,963.056667
5089,963.056667,-476.758742,963.056667
5090,963.056667,-445.644912,963.056667
5091,963.056667,-594.319806,963.056667
5092,963.056667,-547.423780,963.056667
5093,963.056667,-524.781679,963.056667
5094,963.056667,-474.378861,963.056667
5095,963.056667,-516.754626,963.056667
5096,963.056667,-344.452398,963.056667
5097,963.056667,-476.597223,963.056667
5098,963.056667,-268.296242,963.056667
5099,963.056667,-433.377111,963.056667
5100,963.056667,-348.772316,963.056667
5101,963.056667,-419.449600,963.056667
5102,963.056667,-306.997444,963.056667
5103,963.056667,-287.021619,963.056667
5104,963.056667,-242.568712,963.056667
5105,963.056667,-530.352711,963.056667
5106,963.056667,-316.592079,963.056667
5107,963.056667,-486.438491,963.056667
5108,963.056667,-350.865972,963.056667
5109,963.056667,-179.147149,963.056667
5110,963.056667,-325.336193,963.056667
5111,963.056667,-556.567843,963.056667
5112,963.056667,-548.756850,963.056667
5113,963.056667,-385.843208,963.056667
5114,963.056667,-236.818998,963.056667
5115,963.056667,-233.874330,963.056667
5116,963.056667,-129.380038,963.056667
5117,963.056667,-226.178560,963.056667
5118,963.056667,-401.566255,963.056667
5119,963.056667,-409.793464,963.056667
5120,963.056667,-525.094266,963.056667
5121,963.056667,-532.547682,963.056667
5122,963.056667,-620.890237,963.056667
5123,963.056667,-638.064493,963.056667
5124,963.056667,-440.849774,963.056667
5125,963.056667,-254.685587,963.056667
5126,963.056667,-264.070888,963.056667
5127,963.056667,-383.987187,963.056667
5128,963.056667,-316.497257,963.056667
5129,963.056667,-500.058056,963.056667
5130,963.056667,-406.174066,963.056667
5131,963.056667,-396.639129,963.056667
5132,963.056667,-240.872753,963.056667
5133,963.056667,-283.476471,963.056667
5134,963.056667,-242.132934,963.056667
5135,963.056667,-247.216562,963.056667
5136,963.056667,-297.128777,963.056667
5137,963.056667,-482.120427,963.056667
5138,963.056667,-508.388720,963.056667
5139,963.056667,-668.455484,963.056667
5140,963.056667,-401.566938,963.056667
5141,963.056667,-522.832207,963.056667
5142,963.056667,-516.081341,963.056667
5143,963.056667,-370.638536,963.056667
5144,963.056667,-263.888467,963.056667
5145,963.056667,-366.378376,963.056667
5146,963.056667,-392.019801,963.056667
5147,963.056667,-448.291135,963.056667
5148,963.056667,-369.860869,963.056667
5149,963.056667,-180.070350,963.056667
5150,963.056667,-296.278354,963.056667
5151,963.056667,-426.548341,963.056667
5152,963.056667,-489.540791,963.056667
5153,963.056667,-516.517269,963.056667
5154,963.056667,-396.831167,963.056667
5155,963.056667,-320.159728,963.056667
5156,963.056667,-400.145481,963.056667
5157,963.056667,-237.785026,963.056667
5158,963.056667,-405.630757,963.056667
5159,963.056667,-343.420408,963.056667
5160,963.056667,-311.087477,963.056667
5161,963.056667,-457.530491,963.056667
5162,963.056667,-349.495634,963.056667
5163,963.056667,-428.266746,963.056667
5164,963.056667,-177.992652,963.056667
5165,963.056667,-182.914813,963.056667
5166,963.056667,-444.780714,963.056667
5167,963.056667,-345.632123,963.056667
5168,963.056667,-381.551149,963.056667
5169,963.056667,-292.934634,963.056667
5170,963.056667,-391.724810,963.056667
5171,963.056667,-303.447224,963.056667
5172,963.056667,-561.042576,963.056667
5173,963.056667,-467.987574,963.056667
5174,963.056667,-190.063310,963.056667
5175,963.056667,-210.149410,963.056667
5176,963.056667,-325.311311,963.056667
5177,963.056667,-539.207957,963.056667
5178,963.056667,-485.962080,963.056667
5179,963.056667,-437.999539,963.056667
5180,963.056667,-665.618036,963.056667
5181,963.056667,-424.105203,963.056667
5182,963.056667,-620.766172,963.056667
5183,963.056667,-543.058978,963.056667
5184,963.056667,-447.215754,963.056667
5185,963.056667,-373.472182,963.056667
5186,963.056667,-110.845974,963.056667
5187,963.056667,-452.326823,963.056667
5188,963.056667,-514.908773,963.056667
5189,963.056667,-413.291332,963.056667
5190,963.056667,-373.614122,963.056667
5191,963.056667,-314.322828,963.056667
5192,963.056667,-477.513542,963.056667
5193,963.409333,-419.695421,963.409333
5194,963.409333,-321.357907,963.409333
5195,963.409333,-388.923388,963.409333
5196,963.409333,-497.034394,963.409333
5197,963.409333,-526.546772,963.409333
5198,963.409333,-313.316676,963.409333
5199,963.622667,-277.595649,963.622667
5200,963.622667,-477.644789,963.622667
5201,963.622667,-554.702218,963.622667
5202,963.622667,-442.247361,963.622667
5203,963.622667,-462.828503,963.622667
5204,963.622667,-321.989668,963.622667
5205,963.622667,-422.373590,963.622667
5206,963.622667,-152.957631,963.622667
5207,963.622667,-416.606505,963.622667
5208,963.622667,-400.212235,963.622667
5209,963.622667,-374.592973,963.622667
5210,963.622667,-414.518093,963.622667
5211,963.622667,-354.411647,963.622667
5212,963.622667,-488.047981,963.622667
5213,963.622667,-458.019465,963.622667
5214,963.622667,-437.460182,963.622667
5215,963.622667,-168.259567,963.622667
5216,963.622667,-341.924579,963.622667
5217,963.622667,-366.421843,963.622667
5218,963.622667,-476.479589,963.622667
5219,963.622667,-477.252823,963.622667
5220,963.622667,-518.110101,963.622667
5221,963.622667,-330.536901,963.622667
5222,963.622667,-503.286892,963.622667
5223,963.622667,-510.653027,963.622667
5224,963.622667,-519.070383,963.622667
5225,963.622667,-520.185536,963.622667
5226,963.622667,-406.983165,963.622667
5227,963.622667,-329.283156,963.622667
5228,963.622667,-228.198102,963.622667
5229,963.622667,-206.098288,963.622667
5230,963.622667,-273.369071,963.622667
5231,963.622667,-459.938246,963.622667
5232,963.622667,-259.518900,963.622667
5233,963.622667,-413.406207,963.622667
5234,963.622667,-354.688575,963.622667
5235,963.622667,-357.455143,963.622667
5236,963.622667,-243.055071,963.622667
5237,963.622667,-251.560336,963.622667
5238,963.622667,-530.168305,963.622667
5239,963.622667,-263.690264,963.622667
5240,963.622667,-391.279048,963.622667
5241,963.622667,-445.572291,963.622667
5242,963.622667,-442.525548,963.622667
5243,963.622667,-470.231779,963.622667
5244,963.622667,-212.800344,963.622667
5245,963.622667,-414.360322,963.622667
5246,963.622667,-554.179482,963.622667
5247,963.622667,-642.838103,963.622667
5248,963.622667,-586.631581,963.622667
5249,963.622667,-425.373595,963.622667
5250,963.622667,-315.711144,963.622667
5251,963.622667,-479.320605,963.622667
5252,963.622667,-519.436777,963.622667
5253,963.622667,-370.104590,963.622667
5254,963.622667,-246.424373,963.622667
5255,963.622667,-410.673265,963.622667
5256,963.622667,-500.854269,963.622667
5257,963.622667,-291.736879,963.622667
5258,963.622667,-632.834968,963.622667
5259,963.622667,-448.068027,963.622667
5260,963.622667,-460.919210,963.622667
5261,963.622667,-312.236210,963.622667
5262,963.622667,-335.763490,963.622667
5263,963.622667,-524.164107,963.622667
5264,963.622667,-643.206789,963.622667
5265,963.622667,-429.437570,963.622667
5266,963.622667,-458.381311,963.622667
5267,963.622667,-528.403503,963.622667
5268,963.622667,-455.343354,963.622667
5269,963.622667,-536.411522,963.622667
5270,963.622667,-245.730803,963.622667
5271,963.622667,-256.701136,963.622667
5272,963.622667,-267.378780,963.622667
5273,963.622667,-296.740733,963.622667
5274,963.622667,-342.183682,963.622667
5275,963.622667,-468.252363,963.622667
5276,963.622667,-609.162692,963.622667
5277,963.622667,-695.374767,963.622667
5278,963.622667,-687.820992,963.622667
5279,963.622667,-457.266791,963.622667
5280,963.622667,-524.912715,963.622667
5281,963.622667,-547.956999,963.622667
5282,963.622667,-367.500676,963.622667
5283,963.622667,-522.978515,963.622667
5284,963.622667,-371.933329,963.622667
5285,963.622667,-256.993925,963.622667
5286,963.622667,-256.332471,963.622667
5287,963.622667,-567.125452,963.622667
5288,963.622667,-404.803740,963.622667
5289,963.622667,-298.058366,963.622667
5290,963.622667,-412.396679,963.622667
5291,963.622667,-510.262984,963.622667
5292,963.622667,-670.085795,963.622667
5293,963.622667,-518.515398,963.622667
5294,963.622667,-475.780975,963.622667
5295,963.622667,-324.813114,963.622667
5296,963.622667,-426.345590,963.622667
5297,963.622667,-283.311077,963.622667
5298,963.622667,-342.462934,963.622667
5299,963.622667,-392.016835,963.622667
